"Loan_ID","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status"
"LP001778","Male","Yes","1","Graduate","No","3155","1779.0","140.0","360.0","1.0","Semiurban","Y"
"LP001788","Female","No","0","Graduate","Yes","3463","0.0","122.0","360.0","","Urban","Y"
"LP001790","Female","No","1","Graduate","No","3812","0.0","112.0","360.0","1.0","Rural","Y"
"LP001792","Male","Yes","1","Graduate","No","3315","0.0","96.0","360.0","1.0","Semiurban","Y"
"LP001798","Male","Yes","2","Graduate","No","5819","5000.0","120.0","360.0","1.0","Rural","Y"
"LP001800","Male","Yes","1","Not Graduate","No","2510","1983.0","140.0","180.0","1.0","Urban","N"
"LP001807","Male","Yes","2","Graduate","Yes","6250","1300.0","108.0","360.0","1.0","Rural","Y"
"LP001811","Male","Yes","0","Not Graduate","No","3406","4417.0","123.0","360.0","1.0","Semiurban","Y"
"LP001813","Male","No","0","Graduate","Yes","6050","4333.0","120.0","180.0","1.0","Urban","N"
"LP001814","Male","Yes","2","Graduate","No","9703","0.0","112.0","360.0","1.0","Urban","Y"
"LP001819","Male","Yes","1","Not Graduate","No","6608","0.0","137.0","180.0","1.0","Urban","Y"
"LP001824","Male","Yes","1","Graduate","No","2882","1843.0","123.0","480.0","1.0","Semiurban","Y"
"LP001825","Male","Yes","0","Graduate","No","1809","1868.0","90.0","360.0","1.0","Urban","Y"
"LP001836","Female","No","2","Graduate","No","3427","0.0","138.0","360.0","1.0","Urban","N"
"LP001841","Male","No","0","Not Graduate","Yes","2583","2167.0","104.0","360.0","1.0","Rural","Y"
"LP001849","Male","No","0","Not Graduate","No","6045","0.0","115.0","360.0","0.0","Rural","N"
"LP001854","Male","Yes","3+","Graduate","No","5250","0.0","94.0","360.0","1.0","Urban","N"
"LP001864","Male","Yes","3+","Not Graduate","No","4931","0.0","128.0","360.0","","Semiurban","N"
"LP001868","Male","No","0","Graduate","No","2060","2209.0","134.0","360.0","1.0","Semiurban","Y"
"LP001871","Female","No","0","Graduate","No","7200","0.0","120.0","360.0","1.0","Rural","Y"
"LP001872","Male","No","0","Graduate","Yes","5166","0.0","128.0","360.0","1.0","Semiurban","Y"
"LP001877","Male","Yes","2","Graduate","No","4708","1387.0","150.0","360.0","1.0","Semiurban","Y"
"LP001883","Female","No","0","Graduate","","3418","0.0","135.0","360.0","1.0","Rural","N"
"LP001884","Female","No","1","Graduate","No","2876","1560.0","90.0","360.0","1.0","Urban","Y"
"LP001888","Female","No","0","Graduate","No","3237","0.0","30.0","360.0","1.0","Urban","Y"
"LP001892","Male","No","0","Graduate","No","2833","1857.0","126.0","360.0","1.0","Rural","Y"
"LP001894","Male","Yes","0","Graduate","No","2620","2223.0","150.0","360.0","1.0","Semiurban","Y"
"LP001896","Male","Yes","2","Graduate","No","3900","0.0","90.0","360.0","1.0","Semiurban","Y"
"LP001900","Male","Yes","1","Graduate","No","2750","1842.0","115.0","360.0","1.0","Semiurban","Y"
"LP001904","Male","Yes","0","Graduate","No","3103","1300.0","80.0","360.0","1.0","Urban","Y"
"LP001908","Female","Yes","0","Not Graduate","No","4100","0.0","124.0","360.0","","Rural","Y"
"LP001914","Male","Yes","0","Graduate","No","3927","800.0","112.0","360.0","1.0","Semiurban","Y"
"LP001915","Male","Yes","2","Graduate","No","2301","985.7999877999998","78.0","180.0","1.0","Urban","Y"
"LP001917","Female","No","0","Graduate","No","1811","1666.0","54.0","360.0","1.0","Urban","Y"
"LP001924","Male","No","0","Graduate","No","3158","3053.0","89.0","360.0","1.0","Rural","Y"
"LP001925","Female","No","0","Graduate","Yes","2600","1717.0","99.0","300.0","1.0","Semiurban","N"
"LP001926","Male","Yes","0","Graduate","No","3704","2000.0","120.0","360.0","1.0","Rural","Y"
"LP001931","Female","No","0","Graduate","No","4124","0.0","115.0","360.0","1.0","Semiurban","Y"
"LP001936","Male","Yes","0","Graduate","No","3075","2416.0","139.0","360.0","1.0","Rural","Y"
"LP001938","Male","Yes","2","Graduate","No","4400","0.0","127.0","360.0","0.0","Semiurban","N"
"LP001940","Male","Yes","2","Graduate","No","3153","1560.0","134.0","360.0","1.0","Urban","Y"
"LP001945","Female","No","","Graduate","No","5417","0.0","143.0","480.0","0.0","Urban","N"
"LP001949","Male","Yes","3+","Graduate","","4416","1250.0","110.0","360.0","1.0","Urban","Y"
"LP001954","Female","Yes","1","Graduate","No","4666","0.0","135.0","360.0","1.0","Urban","Y"
"LP001963","Male","Yes","1","Graduate","No","2014","2925.0","113.0","360.0","1.0","Urban","N"
"LP001964","Male","Yes","0","Not Graduate","No","1800","2934.0","93.0","360.0","0.0","Urban","N"
"LP001972","Male","Yes","","Not Graduate","No","2875","1750.0","105.0","360.0","1.0","Semiurban","Y"
"LP001974","Female","No","0","Graduate","No","5000","0.0","132.0","360.0","1.0","Rural","Y"
