"Loan_ID","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status"
"LP001003","Male","Yes","1","Graduate","No","4583","1508.0","128.0","360.0","1.0","Rural","N"
"LP001005","Male","Yes","0","Graduate","Yes","3000","0.0","66.0","360.0","1.0","Urban","Y"
"LP001006","Male","Yes","0","Not Graduate","No","2583","2358.0","120.0","360.0","1.0","Urban","Y"
"LP001008","Male","No","0","Graduate","No","6000","0.0","141.0","360.0","1.0","Urban","Y"
"LP001013","Male","Yes","0","Not Graduate","No","2333","1516.0","95.0","360.0","1.0","Urban","Y"
"LP001024","Male","Yes","2","Graduate","No","3200","700.0","70.0","360.0","1.0","Urban","Y"
"LP001027","Male","Yes","2","Graduate","","2500","1840.0","109.0","360.0","1.0","Urban","Y"
"LP001029","Male","No","0","Graduate","No","1853","2840.0","114.0","360.0","1.0","Rural","N"
"LP001030","Male","Yes","2","Graduate","No","1299","1086.0","17.0","120.0","1.0","Urban","Y"
"LP001032","Male","No","0","Graduate","No","4950","0.0","125.0","360.0","1.0","Urban","Y"
"LP001034","Male","No","1","Not Graduate","No","3596","0.0","100.0","240.0","","Urban","Y"
"LP001036","Female","No","0","Graduate","No","3510","0.0","76.0","360.0","0.0","Urban","N"
"LP001038","Male","Yes","0","Not Graduate","No","4887","0.0","133.0","360.0","1.0","Rural","N"
"LP001041","Male","Yes","0","Graduate","","2600","3500.0","115.0","","1.0","Urban","Y"
"LP001043","Male","Yes","0","Not Graduate","No","7660","0.0","104.0","360.0","0.0","Urban","N"
"LP001047","Male","Yes","0","Not Graduate","No","2600","1911.0","116.0","360.0","0.0","Semiurban","N"
"LP001050","","Yes","2","Not Graduate","No","3365","1917.0","112.0","360.0","0.0","Rural","N"
"LP001068","Male","Yes","0","Graduate","No","2799","2253.0","122.0","360.0","1.0","Semiurban","Y"
"LP001073","Male","Yes","2","Not Graduate","No","4226","1040.0","110.0","360.0","1.0","Urban","Y"
"LP001086","Male","No","0","Not Graduate","No","1442","0.0","35.0","360.0","1.0","Urban","N"
"LP001087","Female","No","2","Graduate","","3750","2083.0","120.0","360.0","1.0","Semiurban","Y"
"LP001095","Male","No","0","Graduate","No","3167","0.0","74.0","360.0","1.0","Urban","N"
"LP001097","Male","No","1","Graduate","Yes","4692","0.0","106.0","360.0","1.0","Rural","N"
"LP001098","Male","Yes","0","Graduate","No","3500","1667.0","114.0","360.0","1.0","Semiurban","Y"
"LP001109","Male","Yes","0","Graduate","No","1828","1330.0","100.0","","0.0","Urban","N"
"LP001112","Female","Yes","0","Graduate","No","3667","1459.0","144.0","360.0","1.0","Semiurban","Y"
"LP001116","Male","No","0","Not Graduate","No","3748","1668.0","110.0","360.0","1.0","Semiurban","Y"
"LP001119","Male","No","0","Graduate","No","3600","0.0","80.0","360.0","1.0","Urban","N"
"LP001120","Male","No","0","Graduate","No","1800","1213.0","47.0","360.0","1.0","Urban","Y"
"LP001123","Male","Yes","0","Graduate","No","2400","0.0","75.0","360.0","","Urban","Y"
"LP001131","Male","Yes","0","Graduate","No","3941","2336.0","134.0","360.0","1.0","Semiurban","Y"
"LP001136","Male","Yes","0","Not Graduate","Yes","4695","0.0","96.0","","1.0","Urban","Y"
"LP001137","Female","No","0","Graduate","No","3410","0.0","88.0","","1.0","Urban","Y"
"LP001138","Male","Yes","1","Graduate","No","5649","0.0","44.0","360.0","1.0","Urban","Y"
"LP001144","Male","Yes","0","Graduate","No","5821","0.0","144.0","360.0","1.0","Urban","Y"
"LP001146","Female","Yes","0","Graduate","No","2645","3440.0","120.0","360.0","0.0","Urban","N"
"LP001151","Female","No","0","Graduate","No","4000","2275.0","144.0","360.0","1.0","Semiurban","Y"
"LP001155","Female","Yes","0","Not Graduate","No","1928","1644.0","100.0","360.0","1.0","Semiurban","Y"
"LP001157","Female","No","0","Graduate","No","3086","0.0","120.0","360.0","1.0","Semiurban","Y"
"LP001164","Female","No","0","Graduate","No","4230","0.0","112.0","360.0","1.0","Semiurban","N"
"LP001179","Male","Yes","2","Graduate","No","4616","0.0","134.0","360.0","1.0","Urban","N"
"LP001194","Male","Yes","2","Graduate","No","2708","1167.0","97.0","360.0","1.0","Semiurban","Y"
"LP001195","Male","Yes","0","Graduate","No","2132","1591.0","96.0","360.0","1.0","Semiurban","Y"
"LP001197","Male","Yes","0","Graduate","No","3366","2200.0","135.0","360.0","1.0","Rural","N"
"LP001199","Male","Yes","2","Not Graduate","No","3357","2859.0","144.0","360.0","1.0","Urban","Y"
"LP001205","Male","Yes","0","Graduate","No","2500","3796.0","120.0","360.0","1.0","Urban","Y"
"LP001206","Male","Yes","3+","Graduate","No","3029","0.0","99.0","360.0","1.0","Urban","Y"
"LP001222","Female","No","0","Graduate","No","4166","0.0","116.0","360.0","0.0","Semiurban","N"
