"Loan_ID","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status"
"LP001546","Male","No","0","Graduate","","2980","2083.0","120.0","360.0","1.0","Rural","Y"
"LP001560","Male","Yes","0","Not Graduate","No","1863","1041.0","98.0","360.0","1.0","Semiurban","Y"
"LP001565","Male","Yes","1","Graduate","No","3089","1280.0","121.0","360.0","0.0","Semiurban","N"
"LP001572","Male","Yes","0","Graduate","No","9323","0.0","75.0","180.0","1.0","Urban","Y"
"LP001577","Female","Yes","0","Graduate","No","4583","0.0","112.0","360.0","1.0","Rural","N"
"LP001578","Male","Yes","0","Graduate","No","2439","3333.0","129.0","360.0","1.0","Rural","Y"
"LP001579","Male","No","0","Graduate","No","2237","0.0","63.0","480.0","0.0","Semiurban","N"
"LP001581","Male","Yes","0","Not Graduate","","1820","1769.0","95.0","360.0","1.0","Rural","Y"
"LP001586","Male","Yes","3+","Not Graduate","No","3522","0.0","81.0","180.0","1.0","Rural","N"
"LP001603","Male","Yes","0","Not Graduate","Yes","4344","736.0","87.0","360.0","1.0","Semiurban","N"
"LP001606","Male","Yes","0","Graduate","No","3497","1964.0","116.0","360.0","1.0","Rural","Y"
"LP001608","Male","Yes","2","Graduate","No","2045","1619.0","101.0","360.0","1.0","Rural","Y"
"LP001616","Male","Yes","1","Graduate","No","3750","0.0","116.0","360.0","1.0","Semiurban","Y"
"LP001630","Male","No","0","Not Graduate","No","2333","1451.0","102.0","480.0","0.0","Urban","N"
"LP001634","Male","No","0","Graduate","No","1916","5063.0","67.0","360.0","","Rural","N"
"LP001636","Male","Yes","0","Graduate","No","4600","0.0","73.0","180.0","1.0","Semiurban","Y"
"LP001639","Female","Yes","0","Graduate","No","3625","0.0","108.0","360.0","1.0","Semiurban","Y"
"LP001641","Male","Yes","1","Graduate","Yes","2178","0.0","66.0","300.0","0.0","Rural","N"
"LP001643","Male","Yes","0","Graduate","No","2383","2138.0","58.0","360.0","","Rural","Y"
"LP001653","Male","No","0","Not Graduate","No","4885","0.0","48.0","360.0","1.0","Rural","Y"
"LP001658","Male","No","0","Graduate","No","3858","0.0","76.0","360.0","1.0","Semiurban","Y"
"LP001664","Male","No","0","Graduate","No","4191","0.0","120.0","360.0","1.0","Rural","Y"
"LP001669","Female","No","0","Not Graduate","No","1907","2365.0","120.0","","1.0","Urban","Y"
"LP001671","Female","Yes","0","Graduate","No","3416","2816.0","113.0","360.0","","Semiurban","Y"
"LP001674","Male","Yes","1","Not Graduate","No","2600","2500.0","90.0","360.0","1.0","Semiurban","Y"
"LP001688","Male","Yes","1","Not Graduate","No","3500","1083.0","135.0","360.0","1.0","Urban","Y"
"LP001691","Male","Yes","2","Not Graduate","No","3917","0.0","124.0","360.0","1.0","Semiurban","Y"
"LP001692","Female","No","0","Not Graduate","No","4408","0.0","120.0","360.0","1.0","Semiurban","Y"
"LP001693","Female","No","0","Graduate","No","3244","0.0","80.0","360.0","1.0","Urban","Y"
"LP001698","Male","No","0","Not Graduate","No","3975","2531.0","55.0","360.0","1.0","Rural","Y"
"LP001699","Male","No","0","Graduate","No","2479","0.0","59.0","360.0","1.0","Urban","Y"
"LP001702","Male","No","0","Graduate","No","3418","0.0","127.0","360.0","1.0","Semiurban","N"
"LP001711","Male","Yes","3+","Graduate","No","3430","1250.0","128.0","360.0","0.0","Semiurban","N"
"LP001715","Male","Yes","3+","Not Graduate","Yes","5703","0.0","130.0","360.0","1.0","Rural","Y"
"LP001716","Male","Yes","0","Graduate","No","3173","3021.0","137.0","360.0","1.0","Urban","Y"
"LP001720","Male","Yes","3+","Not Graduate","No","3850","983.0","100.0","360.0","1.0","Semiurban","Y"
"LP001722","Male","Yes","0","Graduate","No","150","1800.0","135.0","360.0","1.0","Rural","N"
"LP001726","Male","Yes","0","Graduate","No","3727","1775.0","131.0","360.0","1.0","Semiurban","Y"
"LP001732","Male","Yes","2","Graduate","","5000","0.0","72.0","360.0","0.0","Semiurban","N"
"LP001734","Female","Yes","2","Graduate","No","4283","2383.0","127.0","360.0","","Semiurban","Y"
"LP001736","Male","Yes","0","Graduate","No","2221","0.0","60.0","360.0","0.0","Urban","N"
"LP001743","Male","Yes","2","Graduate","No","4009","1717.0","116.0","360.0","1.0","Semiurban","Y"
"LP001744","Male","No","0","Graduate","No","2971","2791.0","144.0","360.0","1.0","Semiurban","Y"
"LP001750","Male","Yes","0","Graduate","No","6250","0.0","128.0","360.0","1.0","Semiurban","Y"
"LP001754","Male","Yes","","Not Graduate","Yes","4735","0.0","138.0","360.0","1.0","Urban","N"
"LP001765","Male","Yes","1","Graduate","No","2491","2054.0","104.0","360.0","1.0","Semiurban","Y"
"LP001768","Male","Yes","0","Graduate","","3716","0.0","42.0","180.0","1.0","Rural","Y"
"LP001770","Male","No","0","Not Graduate","No","3189","2598.0","120.0","","1.0","Rural","Y"
