"Loan_ID","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status"
"LP001977","Male","Yes","1","Graduate","No","1625","1803.0","96.0","360.0","1.0","Urban","Y"
"LP001978","Male","No","0","Graduate","No","4000","2500.0","140.0","360.0","1.0","Rural","Y"
"LP001993","Female","No","0","Graduate","No","3762","1666.0","135.0","360.0","1.0","Rural","Y"
"LP001994","Female","No","0","Graduate","No","2400","1863.0","104.0","360.0","0.0","Urban","N"
"LP002002","Female","No","0","Graduate","No","2917","0.0","84.0","360.0","1.0","Semiurban","Y"
"LP002004","Male","No","0","Not Graduate","No","2927","2405.0","111.0","360.0","1.0","Semiurban","Y"
"LP002006","Female","No","0","Graduate","No","2507","0.0","56.0","360.0","1.0","Rural","Y"
"LP002008","Male","Yes","2","Graduate","Yes","5746","0.0","144.0","84.0","","Rural","Y"
"LP002031","Male","Yes","1","Not Graduate","No","3399","1640.0","111.0","180.0","1.0","Urban","Y"
"LP002035","Male","Yes","2","Graduate","No","3717","0.0","120.0","360.0","1.0","Semiurban","Y"
"LP002036","Male","Yes","0","Graduate","No","2058","2134.0","88.0","360.0","","Urban","Y"
"LP002043","Female","No","1","Graduate","No","3541","0.0","112.0","360.0","","Semiurban","Y"
"LP002051","Male","Yes","0","Graduate","No","2400","2167.0","115.0","360.0","1.0","Semiurban","Y"
"LP002053","Male","Yes","3+","Graduate","No","4342","189.0","124.0","360.0","1.0","Semiurban","Y"
"LP002055","Female","No","0","Graduate","No","3166","2985.0","132.0","360.0","","Rural","Y"
"LP002068","Male","No","0","Graduate","No","4917","0.0","130.0","360.0","0.0","Rural","Y"
"LP002086","Female","Yes","0","Graduate","No","4333","2451.0","110.0","360.0","1.0","Urban","N"
"LP002087","Female","No","0","Graduate","No","2500","0.0","67.0","360.0","1.0","Urban","Y"
"LP002097","Male","No","1","Graduate","No","4384","1793.0","117.0","360.0","1.0","Urban","Y"
"LP002098","Male","No","0","Graduate","No","2935","0.0","98.0","360.0","1.0","Semiurban","Y"
"LP002100","Male","No","","Graduate","No","2833","0.0","71.0","360.0","1.0","Urban","Y"
"LP002106","Male","Yes","","Graduate","Yes","5503","4490.0","70.0","","1.0","Semiurban","Y"
"LP002114","Female","No","0","Graduate","No","4160","0.0","71.0","360.0","1.0","Semiurban","Y"
"LP002116","Female","No","0","Graduate","No","2378","0.0","46.0","360.0","1.0","Rural","N"
"LP002126","Male","Yes","3+","Not Graduate","No","3173","0.0","74.0","360.0","1.0","Semiurban","Y"
"LP002128","Male","Yes","2","Graduate","","2583","2330.0","125.0","360.0","1.0","Rural","Y"
"LP002131","Male","Yes","2","Not Graduate","No","3083","2168.0","126.0","360.0","1.0","Urban","Y"
"LP002141","Male","Yes","3+","Graduate","No","2666","2083.0","95.0","360.0","1.0","Rural","Y"
"LP002142","Female","Yes","0","Graduate","Yes","5500","0.0","105.0","360.0","0.0","Rural","N"
"LP002143","Female","Yes","0","Graduate","No","2423","505.0","130.0","360.0","1.0","Semiurban","Y"
"LP002144","Female","No","","Graduate","No","3813","0.0","116.0","180.0","1.0","Urban","Y"
"LP002151","Male","Yes","1","Graduate","No","3875","0.0","67.0","360.0","1.0","Urban","N"
"LP002158","Male","Yes","0","Not Graduate","No","3000","1666.0","100.0","480.0","0.0","Urban","N"
"LP002161","Female","No","1","Graduate","No","4723","0.0","81.0","360.0","1.0","Semiurban","N"
"LP002175","Male","Yes","0","Graduate","No","4750","2333.0","130.0","360.0","1.0","Urban","Y"
"LP002178","Male","Yes","0","Graduate","No","3013","3033.0","95.0","300.0","","Urban","Y"
"LP002180","Male","No","0","Graduate","Yes","6822","0.0","141.0","360.0","1.0","Rural","Y"
"LP002181","Male","No","0","Not Graduate","No","6216","0.0","133.0","360.0","1.0","Rural","N"
"LP002187","Male","No","0","Graduate","No","2500","0.0","96.0","480.0","1.0","Semiurban","N"
"LP002188","Male","No","0","Graduate","No","5124","0.0","124.0","","0.0","Rural","N"
"LP002205","Male","No","1","Graduate","No","3062","1987.0","111.0","180.0","0.0","Urban","N"
"LP002209","Female","No","0","Graduate","","2764","1459.0","110.0","360.0","1.0","Urban","Y"
"LP002211","Male","Yes","0","Graduate","No","4817","923.0","120.0","180.0","1.0","Urban","Y"
"LP002219","Male","Yes","3+","Graduate","No","8750","4996.0","130.0","360.0","1.0","Rural","Y"
"LP002223","Male","Yes","0","Graduate","No","4310","0.0","130.0","360.0","","Semiurban","Y"
"LP002224","Male","No","0","Graduate","No","3069","0.0","71.0","480.0","1.0","Urban","N"
"LP002225","Male","Yes","2","Graduate","No","5391","0.0","130.0","360.0","1.0","Urban","Y"
"LP002226","Male","Yes","0","Graduate","","3333","2500.0","128.0","360.0","1.0","Semiurban","Y"
