"Loan_ID","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status"
"LP002448","Male","Yes","0","Graduate","No","3948","1733.0","149.0","360.0","0.0","Rural","N"
"LP002449","Male","Yes","0","Graduate","No","2483","2466.0","90.0","180.0","0.0","Rural","Y"
"LP002453","Male","No","0","Graduate","Yes","7085","0.0","84.0","360.0","1.0","Semiurban","Y"
"LP002455","Male","Yes","2","Graduate","No","3859","0.0","96.0","360.0","1.0","Semiurban","Y"
"LP002459","Male","Yes","0","Graduate","No","4301","0.0","118.0","360.0","1.0","Urban","Y"
"LP002472","Male","No","2","Graduate","No","4354","0.0","136.0","360.0","1.0","Rural","Y"
"LP002484","Male","Yes","3+","Graduate","No","7740","0.0","128.0","180.0","1.0","Urban","Y"
"LP002489","Female","No","1","Not Graduate","","5191","0.0","132.0","360.0","1.0","Semiurban","Y"
"LP002493","Male","No","0","Graduate","No","4166","0.0","98.0","360.0","0.0","Semiurban","N"
"LP002494","Male","No","0","Graduate","No","6000","0.0","140.0","360.0","1.0","Rural","Y"
"LP002500","Male","Yes","3+","Not Graduate","No","2947","1664.0","70.0","180.0","0.0","Urban","N"
"LP002502","Female","Yes","2","Not Graduate","","210","2917.0","98.0","360.0","1.0","Semiurban","Y"
"LP002505","Male","Yes","0","Graduate","No","4333","2451.0","110.0","360.0","1.0","Urban","N"
"LP002517","Male","Yes","1","Not Graduate","No","2653","1500.0","113.0","180.0","0.0","Rural","N"
"LP002519","Male","Yes","3+","Graduate","No","4691","0.0","100.0","360.0","1.0","Semiurban","Y"
"LP002522","Female","No","0","Graduate","Yes","2500","0.0","93.0","360.0","","Urban","Y"
"LP002530","","Yes","2","Graduate","No","2873","1872.0","132.0","360.0","0.0","Semiurban","N"
"LP002536","Male","Yes","3+","Not Graduate","No","3095","0.0","113.0","360.0","1.0","Rural","Y"
"LP002537","Male","Yes","0","Graduate","No","2083","3150.0","128.0","360.0","1.0","Semiurban","Y"
"LP002544","Male","Yes","1","Not Graduate","No","1958","2436.0","131.0","360.0","1.0","Rural","Y"
"LP002545","Male","No","2","Graduate","No","3547","0.0","80.0","360.0","0.0","Rural","N"
"LP002556","Male","No","0","Graduate","No","2435","0.0","75.0","360.0","1.0","Urban","N"
"LP002560","Male","No","0","Not Graduate","No","2699","2785.0","96.0","360.0","","Semiurban","Y"
"LP002571","Male","No","0","Not Graduate","No","3691","0.0","110.0","360.0","1.0","Rural","Y"
"LP002585","Male","Yes","0","Graduate","No","3597","2157.0","119.0","360.0","0.0","Rural","N"
"LP002586","Female","Yes","1","Graduate","No","3326","913.0","105.0","84.0","1.0","Semiurban","Y"
"LP002587","Male","Yes","0","Not Graduate","No","2600","1700.0","107.0","360.0","1.0","Rural","Y"
"LP002588","Male","Yes","0","Graduate","No","4625","2857.0","111.0","12.0","","Urban","Y"
"LP002600","Male","Yes","1","Graduate","Yes","2895","0.0","95.0","360.0","1.0","Semiurban","Y"
"LP002603","Female","No","0","Graduate","No","645","3683.0","113.0","480.0","1.0","Rural","Y"
"LP002606","Female","No","0","Graduate","No","3159","0.0","100.0","360.0","1.0","Semiurban","Y"
"LP002618","Male","Yes","1","Not Graduate","No","4050","5302.0","138.0","360.0","","Rural","N"
"LP002619","Male","Yes","0","Not Graduate","No","3814","1483.0","124.0","300.0","1.0","Semiurban","Y"
"LP002625","","No","0","Graduate","No","3583","0.0","96.0","360.0","1.0","Urban","N"
"LP002637","Male","No","0","Not Graduate","No","3598","1287.0","100.0","360.0","1.0","Rural","N"
"LP002643","Male","Yes","2","Graduate","No","3283","2035.0","148.0","360.0","1.0","Urban","Y"
"LP002648","Male","Yes","0","Graduate","No","2130","6666.0","70.0","180.0","1.0","Semiurban","N"
"LP002659","Male","Yes","3+","Graduate","No","3466","3428.0","150.0","360.0","1.0","Rural","Y"
"LP002670","Female","Yes","2","Graduate","No","2031","1632.0","113.0","480.0","1.0","Semiurban","Y"
"LP002682","Male","Yes","","Not Graduate","No","3074","1800.0","123.0","360.0","0.0","Semiurban","N"
"LP002684","Female","No","0","Not Graduate","No","3400","0.0","95.0","360.0","1.0","Rural","N"
"LP002689","Male","Yes","2","Not Graduate","No","2192","1742.0","45.0","360.0","1.0","Semiurban","Y"
"LP002690","Male","No","0","Graduate","No","2500","0.0","55.0","360.0","1.0","Semiurban","Y"
"LP002692","Male","Yes","3+","Graduate","Yes","5677","1424.0","100.0","360.0","1.0","Rural","Y"
"LP002705","Male","Yes","0","Graduate","No","3775","0.0","110.0","360.0","1.0","Semiurban","Y"
"LP002714","Male","No","1","Not Graduate","No","2679","1302.0","94.0","360.0","1.0","Semiurban","Y"
"LP002716","Male","No","0","Not Graduate","No","6783","0.0","130.0","360.0","1.0","Semiurban","Y"
"LP002720","Male","Yes","3+","Graduate","No","4281","0.0","100.0","360.0","1.0","Urban","Y"
